Ticker,Beta,Momentum_1Y,Momentum_3Y,Value_PBR,Volatility_1Y,Volatility_3Y,Size_MarketCap,Profitability_ROE,Investment_AssetGrowth
AES,0.924,-0.12050988547726649,-0.35687700319377913,3.0198648,0.03261085103857856,0.02586275214771501,10175187968,0.01742,0.05819326324248309
AEVA,2.019,3.2071612280910253,0.5518868085793978,-7.71576,0.06938561330120284,0.06299976574416835,926590656,-14.416379,-0.4269712687219535
AEYE,0.583,-0.5149012551586589,1.301533303623751,22.85956,0.048796319930707203,0.053746053305687234,167627344,-0.6818,0.1675230437340655
AFB,0.661,-0.009016588660578084,0.22634186578567705,0.93228996,0.006543833421949541,0.0068356753333226085,315044512,0.00031,0.11105978328981171
AFBI,0.498,-0.01921042936477002,0.4584869127425948,0.97752756,0.016200864320261067,0.018990541148274805,121254976,0.056649998,0.027936849769762316
AFCG,1.076,-0.6081840062949998,-0.5243200965480757,0.4195206,0.03548961583068634,0.025972781369459075,77499272,-0.035550002,-0.13829791869351665
AFG,0.736,0.06188402434704687,0.20395176394107284,2.445622,0.015397213954772676,0.01423955868911285,11045598208,0.17169,0.035216705274112865
AFL,0.849,-0.023124654388930632,0.8612404890509167,2.1205685,0.013879667246872368,0.013111686752446039,57681575936,0.09154,-0.07226728954262808
AFRI,0.377,-0.10852712390299724,-0.14418606425440583,-148.3871,0.01706890673348332,0.01783727676416171,247494640,-1.3517799,-0.20478914202617549
AFRM,3.584,0.6478808199475188,2.488360687566779,7.619704,0.049747251926591574,0.05552897971758902,23424026624,0.01799,0.17178313543850862
AFYA,0.615,-0.0841736509342037,0.09143695115931783,0.29418156,0.02006970934910117,0.023291509792813154,1352176000,0.16445999,0.16415862865237582
AG,1.161,0.6726300200111233,0.5252026628084032,2.470244,0.04041257094631287,0.03783232175654924,6203764736,0.01064,0.001737036109403422
AGAE,1.675,-0.4798507392977417,-0.4239669382405261,0.4604359,0.0803866242791542,0.060570741457180916,26502964,-0.35483003,0.005986358086094798
AGCO,1.23,0.10031180808775697,-0.006026573910407285,1.9196421,0.025944065744449053,0.020994182309717,8003765248,0.0085,-0.020190522887262283
AGD,0.942,0.2911260572977439,0.8498034673444117,1.1454287,0.013868418294717851,0.011420485769037652,300769664,0.08636,0.15140912158947806
AGI,0.53,0.5369279412802856,3.186905387471972,3.567828,0.02612906149312315,0.023027939291319827,13390666752,0.10177,0.3336249125262421
AGIO,0.827,-0.08585190937462273,0.5482196994029773,1.768869,0.033699021604300765,0.03110973901675704,2425157632,0.64045995,0.7748021060314709
AGL,0.077,-0.6647686864595383,-0.954755043915741,0.954306,0.07012446159112497,0.054133745998440036,390345152,-0.60679,-0.003953779325921696
AGM,0.962,-0.08918243543276227,0.6098998046314656,1.5631031,0.01946924371878971,0.018782656837353296,1709669376,0.13846,0.06097875308617806
AGMH,2.087,-0.9548603356217539,-0.9507317077822801,0.22305654,0.28961902720293076,0.1729699213893094,7987851,0.95307,-0.37088920257132574
AGNC,1.309,0.14284659491183915,1.0239688199640944,1.1546298,0.013595589179873233,0.01565123307628651,10941540352,0.07943,0.22932845410358121
AGO,0.909,-0.028789656665096697,0.5096011473050477,0.6970233,0.01534964609939999,0.015470139542614338,3885986560,0.08637,-0.05088125049844485
AGRI,-0.113,-0.9303571451548275,-0.9999327586208724,0.36395687,0.11595557906793284,0.09637453788442076,8853757,-2.0179,-0.3802378948276326
AGRO,0.582,-0.3088669060093825,-0.0382502171241107,0.5537317,0.021090107599409092,0.022530060244631386,759527040,0.025980001,-0.015800213214091845
AGX,0.633,1.0900521883126495,7.454833182245796,9.401061,0.04272128380663143,0.03222978229627762,3696253696,0.33426997,0.39783761736726236
AGYS,0.604,-0.034655991231393624,1.0665330201471086,11.157367,0.03268598371708729,0.02891300287981129,3179211776,0.05214,0.2395342864480781
AHCO,1.618,-0.12995398631455435,-0.5802579067828083,0.78660107,0.032879477231252514,0.03812606776379061,1277210752,0.05514,-0.00481363601077928
AHG,-0.663,0.5399999618530273,1.701754352942948,4.265928,0.08309258213355758,0.08742451741627101,845769344,-0.8026,0.5135627027078524
AHH,1.137,-0.3317206930376265,-0.27774437339259683,1.1335223,0.017773824150740976,0.01690360089958888,704918080,0.02892,-0.01952282143105188
AI,1.945,-0.31272015693560506,0.37617548205022033,3.0083947,0.045002100261017516,0.052128912417307736,2420640512,-0.40943,-0.011888559801584434
AIG,0.686,0.03998925718154589,0.5542628264540723,1.0647424,0.014604416514122606,0.014799249980727893,43733065728,0.07604,-0.7008711195499401
AIHS,0.902,-0.8027057471726566,-0.7965116369330989,-0.7337526,0.08254566993198922,0.06761825894067248,1939546,-1.50992,-0.4117729136912862
AIMD,2.271,0.2231985884279417,-0.8912499994039536,1.2980231,0.07358952972051787,0.08536106605211866,16603720,-0.97803,-0.09489427797495394
AIN,1.365,-0.20748475927869492,-0.32270840094006736,1.9015088,0.02610641723312062,0.020927879097836093,1689698304,0.067090005,-0.10153492016954639
AIOT,1.313,-0.07220218377648491,0.8555956324470302,1.4770114,0.04770053523229083,0.042329726753596864,685898496,-0.09139,1.9482668135285732
AIR,1.517,0.29485750760768203,0.8735314931336766,2.3160381,0.025766864117302606,0.021388507338136263,3217617664,0.0235,0.026931407942238268
AIRG,0.835,-0.537938849495071,-0.449392711508494,1.6306953,0.037383309757905964,0.04173862609016382,48565400,-0.21966,0.14715006275308437
AIRI,-0.014,-0.461016946549869,-0.442105232777687,0.8044523,0.03256422403266748,0.05413416907883608,15174814,-0.15703,0.005836537513556147
AIRJ,0.435,-0.13499999046325684,-0.47522751495913806,1.086911,0.050459165284300285,0.08046920609977998,313681472,0.14693,664.0401790932058
AIRS,2.577,0.793344956691328,0.6176935062461901,7.013698,0.0631367623976859,0.055113987151736044,639351488,-0.16475001,0.029296291031717634
AIRT,0.735,0.27334464645452816,0.10510802188092305,-13.1348505,0.04273998621206539,0.03940970600193848,60809376,-0.68451,-0.019128844536510748
AIT,0.956,0.10980323599889608,1.2380285426039568,5.204377,0.022647660936961172,0.019120920556146836,9569896448,0.22245,0.07575908479594567
AIV,1.388,-0.008698319909897223,0.08233966682710969,8.50075,0.016783750374071968,0.01748327996540424,807018112,-0.14548,-0.06344416659687242
AIZ,0.549,0.09758135597988038,0.45098495089256363,1.931461,0.017401240740245415,0.01647214759246724,10605012992,0.13654,0.04118899248406431
AJG,0.73,-0.01482711139432269,0.6589670144843494,3.152104,0.014912459404731028,0.012939247296225174,72560984064,0.09507,0.24487463141131205
AKA,1.597,-0.4866170774923144,-0.42169175439898265,1.3009893,0.06700381925760447,0.07154806434331282,149756784,-0.21356001,0.06492020092833979
AKAM,0.756,-0.2961846631131825,-0.15534198233844698,2.4851146,0.026024595882560432,0.019971526136842273,10712333312,0.092080005,0.04734810587071543
AKAN,1.7,-0.6755140072831484,-0.9966093748807907,0.4787117,0.05826742209893655,0.08412056119409989,1580387,-0.60863996,-0.1047410331659765
AKO-A,0.368,0.5057821710601498,1.8428750832667529,0.017564738,0.025149549198213658,0.024714241635745253,3535345920,0.23412001,0.12650376226695534
AKO-B,0.368,0.3284603783681501,1.975419234071857,0.021319775,0.02328956654081004,0.02301610748263379,3535345664,0.23412001,0.12650376226695534
AKR,1.488,-0.14916022319773337,0.634650229317639,1.1437644,0.016854642577556662,0.016999218303687582,2802471168,-0.0076599997,0.018654422563254548
AKRO,-0.294,0.7349514974816516,0.22035056312155987,4.1765347,0.07157162189741656,0.056189725792103205,4297636352,-0.31138,0.42327636569809624
AKTX,0.363,-0.6574074166056547,-0.9195652146871238,0.942293,0.06919193771429824,0.0620511480088296,24125118,-1.12017,10.610103329506314
AL,1.383,0.4704408931212536,0.9473834848761149,0.8641707,0.020135153663531014,0.018652858175436552,7107138560,0.12592,0.05995103416325334
ALAR,0.498,-0.2409508364666506,2.697368517641877,33.855423,0.056364026294049074,0.06874925252259055,102573672,0.2174,0.7348250772450912
ALB,1.657,-0.0062969997962413204,-0.6613804141895865,1.3415549,0.03766565451008241,0.03463929389334805,10740920320,-0.081070006,-0.09091098664678196
ALC,0.693,-0.18732538055646608,0.29079515004771883,1.7080642,0.017741032603539847,0.01631668722820793,37799284736,0.04982,0.024751806577969878
ALCO,1.003,0.37600434649007575,0.22567633493974992,2.4186046,0.02009871220254255,0.019978596964882907,270339936,-0.80394,-0.06918125938186495
ALDX,0.818,-0.06148284623657796,-0.011428560529436416,5.635179,0.06849009777652362,0.06300426504547099,311636288,-0.65910006,-0.29475579788754586
ALE,0.815,0.09404106638409115,0.44924043419804227,1.3655628,0.004230570665480511,0.010894690903684542,3908101120,0.03144,0.01470764978066222
ALEC,0.989,-0.6507592261005551,-0.8217054195000106,2.290185,0.07203258065546655,0.056629279348498214,162951856,-1.03985,-0.2468918203937751
ALEX,1.057,-0.023082642837265133,0.039571770507702775,1.2166045,0.011590165022590644,0.013811315679249118,1232440448,0.07791,0.014694689295188251
ALG,1.084,0.09557235228188965,0.2481964102173102,2.0096455,0.018450275899337575,0.018508817686900002,2265951232,0.11302,0.02901476245684291
ALGM,1.719,0.537306050001189,0.3530189528580596,6.153538,0.03814195291956566,0.032204666194430936,5680743424,-0.06717,-0.07163320599789756
ALGN,1.704,-0.37393792316435837,-0.37801631118242174,2.511671,0.033743958131827644,0.03253769884616955,9827701760,0.1141,0.021486792057104374
ALGS,2.774,0.34979426667742874,-0.6102970236598855,0.59420294,0.07580666816518708,0.06749432921834447,68401520,-0.87741995,-0.5374157740864665
ALGT,1.703,0.047017978731708876,-0.019740679102081438,1.1151067,0.040243160569642805,0.035073226761808865,1217718144,-0.2395,-0.08788208044735206
ALHC,1.183,0.6641148045026934,0.3725334873664121,24.424156,0.03148747078734154,0.03925852140714624,3443766272,-0.38526002,0.3213202000405488
ALIT,1.127,-0.5596103716518888,-0.613645888377218,0.5189079,0.029312645415660782,0.02631343828584402,1681439744,-0.29087,-0.2401224262659989
ALK,1.402,0.035621184992099764,0.09836444304936398,1.3943151,0.03250730535688072,0.025518950695946455,5498002432,0.07664,0.35276808321357694
ALKS,0.492,0.12197766798228526,0.34705373723396593,3.1585898,0.021837971033650774,0.021624901375428062,5132274688,0.23936,-0.03775635783342844
ALKT,0.568,-0.3915205297806963,0.4971024082272679,7.0347958,0.030029153255185626,0.027238528531511833,2419932928,-0.114700004,0.09367098105421122
ALL,0.377,0.030722010855325887,0.6790518056398065,2.3355553,0.01678604439918954,0.015699544253915565,51328200704,0.27005,0.07986494069387202
ALLE,1.078,0.16761426796606793,0.8767074996143076,8.43304,0.015809876060031328,0.015944314916865092,15066063872,0.38994,0.04089064130812942
ALLO,0.433,-0.5678571218738747,-0.8764044900039053,0.77316296,0.06312238772663689,0.05316356044942131,268476032,-0.55121,-0.14642436574123768
ALLR,0.22,-0.12269941611582347,-0.99999752920045,1.7187499,0.06907753634256561,0.08043856050693184,20769434,-1.50584,0.9094587759231159
ALLT,1.461,1.6866097808539284,1.5555555986302756,4.3942223,0.04818920697750423,0.03857067686808302,438252672,-0.02764,0.010697509463459827
